G2 s36	Date:12/13/2022 11:09:40 AM
********DATA**********
Control	Mode	SetPoint	SetPoint_Field(Gauss)	Field(Gauss)	T1	T2	t
Read	Read	0	0	0	0.0	0.0	0.02
Read	Read	0	0	0	22.9	-1.0	0.73
Read	Read	0	0	0	22.9	-1.0	1.26
Field(Gauss)	M 4-388.15 kHz	251	48	6	22.9	-1.0	1.76
Field(Gauss)	M 4-388.15 kHz	251	48	6	22.9	-1.0	2.30
Field(Gauss)	M 4-388.15 kHz	251	48	6	22.9	-1.0	2.81
Field(Gauss)	M 4-388.15 kHz	251	48	4	22.9	-1.0	3.32
Field(Gauss)	M 4-388.15 kHz	251	48	4	22.9	-1.0	3.80
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	4.31
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	4.85
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	5.46
Field(Gauss)	M 4-388.15 kHz	251	48	4	23.0	-1.0	6.11
Field(Gauss)	M 4-388.15 kHz	251	48	4	23.0	-1.0	6.61
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	7.16
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	7.69
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	8.19
Field(Gauss)	M 4-388.15 kHz	251	48	4	23.0	-1.0	8.70
Field(Gauss)	M 4-388.15 kHz	251	48	4	23.0	-1.0	9.22
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	9.73
Field(Gauss)	M 4-388.15 kHz	251	48	6	23.0	-1.0	10.25
Field(Gauss)	M 4-388.15 kHz	251	48	4	23.0	-1.0	10.79
Field(Gauss)	M 4-388.15 kHz	251	48	35	23.0	-1.0	11.40
Field(Gauss)	M 4-388.15 kHz	251	48	48	23.0	-1.0	11.93
Field(Gauss)	M 4-388.15 kHz	251	48	48	23.0	-1.0	12.48
Field(Gauss)	M 4-388.15 kHz	251	48	48	23.0	-1.0	13.00
Field(Gauss)	M 4-388.15 kHz	251	48	48	23.0	-1.0	13.54
Field(Gauss)	M 4-388.15 kHz	251	48	48	23.0	-1.0	14.08
Field(Gauss)	M 4-388.15 kHz	251	108	106	23.0	-1.0	14.63
Field(Gauss)	M 4-388.15 kHz	251	228	171	23.0	-1.0	15.22
Field(Gauss)	M 4-388.15 kHz	251	251	230	23.0	-1.0	15.76
Field(Gauss)	M 4-388.15 kHz	251	251	250	23.0	-1.0	16.29
Field(Gauss)	M 4-388.15 kHz	251	251	251	23.0	-1.0	16.81
